TransactionID,CustomerID,CustomerName,DateOfBirth,Gender,Country,ProductCategory,PurchaseDate,Quantity,UnitPrice,TotalAmount,PaymentMethod,CustomerFeedback,FeedbackSentiment,CustomerAge,AgeGroup
TXN10950,CUST1950,Carlos Smith,1998-10-24,Male,United States,Home & Kitchen,2025-04-27,4,367.38,1469.52,PayPal,average product,Neutral,26,25-34
TXN10703,CUST1703,Ken Kumar,1996-05-22,Male,United Kingdom,Books,2024-05-04,2,238.04,476.08,Debit Card,value for money,Positive,28,25-34
TXN10959,CUST1959,Liam Wilson,1974-04-19,Male,United Kingdom,Toys,2024-06-14,3,208.56,625.68,Cash on Delivery,worst purchase ever,Negative,50,45-59
TXN10556,CUST1556,Mia Ali,1993-01-17,Male,United States,Beauty,2024-02-27,1,272.09000000000003,272.09,PayPal,No feedback provided,No Feedback,31,25-34
TXN10176,CUST1176,David Das,1959-12-29,Female,United Kingdom,Beauty,2024-08-21,1,281.6,281.6,UPI,"Great product, fast delivery!!",Positive,65,60+
TXN10337,CUST1337,Carlos Johnson,1984-09-13,Male,United States,Toys,2024-11-12,4,498.33,1993.32,Credit Card,Delivery was late,Negative,40,35-44
TXN10737,CUST1737,Yusuf Wilson,1957-11-06,Female,Germany,Electronics,2024-06-03,4,88.19,352.76,Credit Card,5 stars,Positive,67,60+
TXN10105,CUST1105,Amit Garcia,1957-10-01,Female,United Kingdom,Clothing,2024-07-11,4,173.74,694.96,Cash on Delivery,"Excellent service, will buy again",Positive,67,60+
TXN10129,CUST1129,Ananya Kim,1982-01-07,Male,United States,Beauty,2024-11-23,4,36.09,144.36,PayPal,ok,Neutral,42,35-44
TXN10190,CUST1190,Noah Brown,1988-04-04,Female,United States,Sports,2025-03-18,2,13.03,26.06,Cash on Delivery,average product,Neutral,36,35-44
TXN10793,CUST1793,Wei Silva,1959-08-16,Unknown,United States,Sports,2024-02-29,3,318.18,954.54,Cash on Delivery,"Excellent service, will buy again",Positive,65,60+
TXN10270,CUST1270,Olivia Singh,1987-01-05,Female,United Kingdom,Toys,2024-03-30,3,368.33,1104.99,Debit Card,"Great product, fast delivery!!",Positive,37,35-44
TXN10646,CUST1646,Sara Chen,1971-02-15,Male,Germany,Clothing,2024-05-05,4,46.9,187.6,Cash on Delivery,worst purchase ever,Negative,53,45-59
TXN10088,CUST1088,Olivia Nguyen,1963-02-07,Male,India,Sports,2024-03-04,3,338.05,1014.15,Cash on Delivery,No feedback provided,No Feedback,61,60+
TXN10148,CUST1148,Grace Singh,1985-04-16,Male,Germany,Toys,2024-01-15,1,474.53,474.53,UPI,Good,Positive,39,35-44
TXN10379,CUST1379,Carlos Kim,1973-03-11,Unknown,United Kingdom,Home & Kitchen,2024-03-20,1,460.49,460.49,PayPal,"Great product, fast delivery!!",Positive,51,45-59
TXN10120,CUST1120,Grace Khan,1982-10-10,Female,Canada,Toys,2024-06-17,5,51.26,256.3,PayPal,No feedback provided,No Feedback,42,35-44
TXN10348,CUST1348,Mia Garcia,1976-01-16,Male,United Kingdom,Electronics,2025-04-05,3,245.5,736.5,UPI,Item damaged on arrival :(,Negative,48,45-59
TXN10538,CUST1538,Mia Ali,,Male,India,Home & Kitchen,2024-01-07,3,178.92,536.76,PayPal,"Excellent service, will buy again",Positive,43,35-44
TXN10722,CUST1722,Rahul Fernandes,1990-05-28,Female,United Kingdom,Home & Kitchen,2024-11-24,1,207.35,207.35,Credit Card,worst purchase ever,Negative,34,25-34
TXN10624,CUST1624,Grace Lee,1959-07-11,Unknown,United Kingdom,Toys,2025-01-21,1,391.92,391.92,Credit Card,ok,Neutral,65,60+
TXN10449,CUST1449,Ken Fernandes,1994-08-23,Male,United Kingdom,Electronics,2024-05-05,3,311.78,935.34,UPI,not happy with quality,Negative,30,25-34
