OrderID,CustomerID,CustomerName,Email,DateOfBirth,OrderDate,ProductCategory,Price,Quantity,PaymentMethod
ORD10048,CUST1048,Anna Chen,anna.chen@example.com,,05-25-2024,clothing ,81.71,2,
ORD10347,CUST1347,Wei Johnson,wei.johnson@example.com,17/10/1978,2024-08-16,Electronic,6.56,3,PayPal
ORD10285,CUST1285,Li Brown,li.brown@example.com,03-04-1975,01-17-2024,Beauty,113.99,5,Cash
ORD10222,CUST1222,Tom Ahmed,tom.ahmed@example.com,10-05-1969,13/04/2024,Sports,5.0,2,UPI
ORD10474,CUST1124,Yusuf Patel,yusuf.patel@example.com,1955-06-23,23-Mar-2024,Sports & Outdoors,91.01,5,Cash
ORD10169,CUST1169,Olga Davis,olga.davis@example.com,14/04/1958,08-30-2024,clothing ,42.64,1,PayPal
ORD10224,CUST1224,Priya Davis,priya.davis@example.com,14-Dec-1956,08-24-2024,ELECTRONICS,5.0,2,UPI
ORD10190,CUST1190,Fatima Johnson,fatima.johnson@example.com,12-28-1965,03-May-2024,Book,5.0,1,Credit Card
ORD10380,CUST1030,Olga Patel,olga.patel@example.com,14/10/1985,25/10/2024,beauty products,25.75,4,PayPal
ORD10193,CUST1193,Maria Wang,maria.wang@example.com,1959-05-14,04-20-2024,clothing ,56.42,4,PayPal
ORD10118,CUST1118,Wei Ali,wei.ali@example.com,07-16-1959,2024-11-24,Electronic,14.94,5,Debit Card
ORD10233,CUST1233,Kenji Brown,kenji.brown@example.com,11/12/2004,2024-05-20,books,51.37,1,PayPal
ORD10111,CUST1111,Maria Chen,maria.chen@example.com,08-27-1990,13/03/2024,Home & Kitchen,5.0,1,PayPal
ORD10148,CUST1148,Aisha Müller,aisha.müller@example.com,10-Apr-1994,21/01/2024,Sports,10.39,2,PayPal
ORD10321,CUST1321,Tom Kumar,tom.kumar@example.com,1985-01-20,2024-11-21,Home and Kitchen,52.91,3,Credit Card
ORD10068,CUST1068,Sara Rossi,sara.rossi@example.com,12-31-1988,04-May-2024,Electronics,,3,Debit Card
ORD10091,CUST1091,Maria Wilson,maria.wilson@example.com,20/06/1976,2024-03-03,clothing ,,5,Cash
ORD10441,CUST1091,Carlos Ivanov,carlos.ivanov@example.com,12-05-1967,10-06-2024,home kitchen,61.52,1,UPI
ORD10329,CUST1329,Sara Müller,sara.müller@example.com,27/07/1995,16-Jan-2024,Books,68.72,2,Credit Card
ORD10299,CUST1299,John Smith,john.smith@example.com,26-Oct-1965,12-22-2024,Sports & Outdoors,74.39,2,Cash
ORD10067,CUST1067,Yusuf Davis,yusuf.davis@example.com,14-Sep-1996,31-Jan-2025,Beauty ,,2,Credit Card
ORD10194,CUST1194,Tom Smith,tom.smith@example.com,01-06-1967,25-Feb-2024,home kitchen,12.63,3,
ORD10261,CUST1261,Li Kim,li.kim@example.com,26/02/1989,23/09/2024,Sports & Outdoors,22.19,3,Cash
ORD10312,CUST1312,Anna Wilson,anna.wilson@example.com,12-24-1969,06-26-2024,Sports & Outdoors,82.96,3,Credit Card
ORD10147,CUST1147,Nina Ali,nina.ali@example.com,24/12/1999,13-Jun-2024,Clothing,12.89,3,Credit Card
ORD10470,CUST1120,Kenji Kumar,kenji.kumar@example.com,03-23-1993,24/02/2024,ELECTRONICS,32.73,4,UPI
ORD10103,CUST1103,Anna Chen,anna.chen@example.com,09-Aug-1976,08-Nov-2024,Beauty ,39.72,4,
ORD10426,CUST1076,Tom Hassan,,23-May-1981,10/04/2024,Beauty,91.06,1,Debit Card
ORD10411,CUST1061,Wei Hassan,,09/08/2000,11-12-2024,Book,71.35,3,Credit Card
ORD10410,CUST1060,Fatima Wilson,fatima.wilson@example.com,17-Mar-1964,2025-01-16,books,65.43,5,Credit Card
ORD10032,CUST1032,Carlos Kumar,carlos.kumar@example.com,02-25-1988,05/02/2024,Beauty,105.57,5,PayPal
ORD10497,CUST1147,Emma Silva,emma.silva@example.com,04-09-2005,07-03-2024,home kitchen,18.88,1,PayPal
ORD10035,CUST1035,Wei Sato,wei.sato@example.com,04-27-1955,2024-05-21,Sports & Outdoors,74.68,3,Debit Card
ORD10133,CUST1133,Aisha Ali,aisha.ali@example.com,09-13-1995,11-Jul-2024,Beauty,18.13,3,UPI
ORD10173,CUST1173,Maria Kumar,maria.kumar@example.com,18-Aug-1986,2024-08-16,ELECTRONICS,47.69,1,Credit Card
ORD10454,CUST1104,Wei Silva,wei.silva@example.com,03/11/1958,08/07/2024,Sports,65.12,3,Cash
ORD10143,CUST1143,Mohammed Müller,mohammed.müller@example.com,05/10/1961,04/11/2024,sports,5.0,5,UPI
ORD10136,CUST1136,James Ahmed,james.ahmed@example.com,28/01/1959,12-07-2024,Home and Kitchen,96.5,1,Credit Card
ORD10436,CUST1086,Fatima Ali,fatima.ali@example.com,21/06/1961,02-Oct-2024,Electronics,52.22,3,Credit Card
ORD10005,CUST1005,Yusuf Silva,yusuf.silva@example.com,2003-02-09,23-Jan-2024,Home and Kitchen,42.98,3,UPI
ORD10439,CUST1089,John Hassan,john.hassan@example.com,07-06-1961,2024-02-02,Sports,5.0,3,UPI
ORD10444,CUST1094,Mohammed Khan,mohammed.khan@example.com,28-Mar-2004,2024-04-02,beauty products,47.33,1,PayPal
ORD10332,CUST1332,Fatima Patel,fatima.patel@example.com,26-Jan-1970,2024-08-24,Home and Kitchen,23.08,4,Cash
ORD10063,CUST1063,Sara Kumar,sara.kumar@example.com,09-10-1969,2024-03-26,Books,16.81,3,UPI
ORD10225,CUST1225,Wei Patel,wei.patel@example.com,1960-09-20,08-04-2024,Home & Kitchen,35.84,4,Credit Card
ORD10181,CUST1181,Raj Rossi,raj.rossi@example.com,1962-09-26,09/10/2024,clothing ,68.77,4,UPI
ORD10366,CUST1016,Olga Johnson,olga.johnson@example.com,04-Jun-1959,19/12/2024,ELECTRONICS,37.96,1,PayPal
ORD10495,CUST1145,Kenji Wilson,,08-28-1998,03-09-2024,ELECTRONICS,95.69,5,Credit Card
ORD10066,CUST1066,Kenji Wilson,kenji.wilson@example.com,30-Jun-1987,24-Feb-2024,Sports & Outdoors,90.69,5,PayPal
ORD10205,CUST1205,James Ali,james.ali@example.com,01-25-2005,05-06-2024,Electronic,8.67,3,PayPal
ORD10086,CUST1086,Li Kim,li.kim@example.com,1979-03-07,2024-10-27,Beauty,34.95,4,PayPal
ORD10316,CUST1316,Priya Wilson,priya.wilson@example.com,18/06/1968,05-Jul-2024,Clothing,50.63,4,Debit Card
ORD10494,CUST1144,Li Davis,li.davis@example.com,03/08/1972,09-Aug-2024,Sports & Outdoors,24.16,1,Debit Card
